symbol,source_symbol,name,sector,industry,headquarters,date_added,cik,founded,source_url,snapshot_date
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,0001090872,1999,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
AAPL,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,0000320193,1977,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ABBV,ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888),https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ABNB,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,0001559720,2008,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ABT,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,0000001800,1888,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ACGL,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,0000947484,1995,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ACN,ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,1989,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ADBE,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,1982,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ADI,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,0000006281,1965,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ADM,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,0000007084,1902,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ADP,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,0000008670,1949,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ADSK,ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-01,0000769397,1982,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
AEE,AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,0001002910,1902,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
AEP,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,0000004904,1906,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
AES,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,1981,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
AFL,AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,1955,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
AIG,AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,0000005272,1919,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
AIZ,AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,0001267238,1892,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
AJG,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,0000354190,1927,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
AKAM,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0001086222,1998,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ALB,ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,0000915913,1994,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ALGN,ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,0001097149,1997,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ALL,ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,0000899051,1931,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
ALLE,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,0001579241,1908,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
AMAT,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,0000006951,1967,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-07-13
