symbol,source_symbol,name,exchange,source_url,snapshot_date
A,A,"Agilent Technologies, Inc. Common Stock",NYSE,https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt ; https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt,2026-07-13
AA,AA,Alcoa Corporation Common Stock,NYSE,https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt ; https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt,2026-07-13
AAC-U,AAC.U,"Ares Acquisition Corporation III Units, each consisting of one Class A ordinary share and one-tenth of one redeemable warrant",NYSE,https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt ; https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt,2026-07-13
AACB,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt ; https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt,2026-07-13
AACBR,AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt ; https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt,2026-07-13
AACBU,AACBU,Artius II Acquisition Inc. - Units,NASDAQ,https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt ; https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt,2026-07-13
AACG,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt ; https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt,2026-07-13
AACI,AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt ; https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt,2026-07-13
AACIU,AACIU,Armada Acquisition Corp. III - Units,NASDAQ,https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt ; https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt,2026-07-13
AACIW,AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt ; https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt,2026-07-13
