symbol,name,included_at,note,trigger_condition,source,lifecycle_state,analytical_origin,entry_rank,entry_score,review_due_at,promotion_condition,discard_condition
NEM,Newmont Corporation,2026-07-14,Screener S&P500 #1 - Basic Materials - Investment Score 79.8,,manual,,,,,,,
FSLR,"First Solar, Inc.",2026-07-14,Screener S&P500 #2 - Technology - Investment Score 76.6,,manual,,,,,,,
MU,"Micron Technology, Inc.",2026-07-14,Screener S&P500 #3 - Technology - Investment Score 76.5,,manual,,,,,,,
DECK,Deckers Outdoor Corporation,2026-07-14,Screener S&P500 #4 - Consumer Cyclical - Investment Score 74.3,,manual,,,,,,,
CF,"CF Industries Holdings, Inc.",2026-07-14,Screener S&P500 #5 - Basic Materials - Investment Score 71.8,,manual,,,,,,,
CTSH,Cognizant Technology Solutions Corporation,2026-07-14,Screener S&P500 #6 - Technology - Investment Score 70.9,,manual,,,,,,,
EOG,"EOG Resources, Inc.",2026-07-14,Screener S&P500 #7 - Energy - Investment Score 70.3,,manual,,,,,,,
INTU,Intuit Inc.,2026-07-14,Screener S&P500 #8 - Technology - Investment Score 69.9,,manual,,,,,,,
TROW,"T. Rowe Price Group, Inc.",2026-07-14,Screener S&P500 #10 - Financial Services - Investment Score 68.2,,manual,,,,,,,
INCY,Incyte Corporation,2026-07-14,Screener S&P500 #11 - Healthcare - Investment Score 68.2,,manual,,,,,,,
PYPL,"PayPal Holdings, Inc.",2026-07-14,Screener S&P500 #12 - Financial Services - Investment Score 68.0,,manual,,,,,,,
PHM,"PulteGroup, Inc.",2026-07-14,Screener S&P500 #14 - Consumer Cyclical - Investment Score 67.9,,manual,,,,,,,
EXE,Expand Energy Corporation,2026-07-14,Screener S&P500 #15 - Energy - Investment Score 67.9,,manual,,,,,,,
HIG,"The Hartford Insurance Group, Inc.",2026-07-14,Screener S&P500 #16 - Financial Services - Investment Score 67.7,,manual,,,,,,,
RMD,ResMed Inc.,2026-07-14,Screener S&P500 #18 - Healthcare - Investment Score 66.4,,manual,,,,,,,
AOS,A. O. Smith Corporation,2026-07-14,Screener S&P500 #20 - Industrials - Investment Score 65.8,,manual,,,,,,,
AMP,"Ameriprise Financial, Inc.",2026-07-14,Screener S&P500 #21 - Financial Services - Investment Score 65.8,,manual,,,,,,,
REGN,"Regeneron Pharmaceuticals, Inc.",2026-07-14,Screener S&P500 #22 - Healthcare - Investment Score 65.7,,manual,,,,,,,
GILD,"Gilead Sciences, Inc.",2026-07-14,Screener S&P500 #23 - Healthcare - Investment Score 65.6,,manual,,,,,,,
COP,ConocoPhillips,2026-07-14,Screener S&P500 #24 - Energy - Investment Score 65.3,,manual,,,,,,,
GOOG,Alphabet Inc.,2026-07-14,Screener S&P500 #26 - Communication Services - Investment Score 64.9,,manual,,,,,,,
CPRT,"Copart, Inc.",2026-07-14,Screener S&P500 #27 - Industrials - Investment Score 64.9,,manual,,,,,,,
GOOGL,Alphabet Inc.,2026-07-14,Screener S&P500 #28 - Communication Services - Investment Score 64.8,,manual,,,,,,,
DVN,Devon Energy Corporation,2026-07-14,Screener S&P500 #30 - Energy - Investment Score 63.4,,manual,,,,,,,
SNA,Snap-on Incorporated,2026-07-14,Screener S&P500 #32 - Industrials - Investment Score 62.9,,manual,,,,,,,
